id,use_case_id,name,description,status,shipped_at
76fb650c-52c6-45e7-a5e3-8178832de1db,8827d88a-12e7-46f7-a1bb-f19c58aefbad,Public dashboard links,Share a read-only dashboard with anyone via a link,shipped,2025-08-11
6c9d4eba-c96a-40cf-b3d9-463ae64e5b73,8827d88a-12e7-46f7-a1bb-f19c58aefbad,Password-protected embeds,Require a password to view an embedded dashboard,shipped,2025-11-22
06139b47-94d2-41dd-b0d5-636f046a291e,8827d88a-12e7-46f7-a1bb-f19c58aefbad,White-label embedding,Remove Holistics branding from embedded dashboards,planned,
dde5efc8-fb07-4065-905c-d98fe0b9b79a,578e4e2e-da34-40a0-b12e-08e6285af78c,Shared folders,Organize dashboards into team-accessible folders,shipped,2025-04-13
b5f1e380-974e-4d3d-bb91-2c4b53e7eeef,578e4e2e-da34-40a0-b12e-08e6285af78c,Dashboard templates,Pre-built starter templates for common analytics,in_development,
76037b82-d65b-40dd-bc62-e5d591414b04,d15a5df5-dc6e-459d-84d4-448c0a05f7b3,Column masking,Hide raw PII columns from analyst-level users,shipped,2026-02-01
5b741de6-5d5d-4944-853f-a853ab84ae71,d15a5df5-dc6e-459d-84d4-448c0a05f7b3,Column-level permissions,Grant individual-level access to specific columns,planned,
aa0d3b77-8fa7-43d7-ba78-68272aad1e1e,85b22292-40d3-481e-979b-bf7c6557cf66,Dynamic row-level security,Filter rows based on user identity at query time,shipped,2025-08-08
ab38ec25-192d-43d8-a28e-b30d69e678d1,85b22292-40d3-481e-979b-bf7c6557cf66,User attribute filters,Parameterize RLS rules using user profile attributes,shipped,2025-10-04
adeb42f2-4e0e-4459-b191-fdc48d5e9a27,e2a7c969-6f3c-47c3-8e68-15227ad0e859,Smart query caching,Cache query results and invalidate on data refresh,shipped,2025-05-18
72cabf17-54c2-42ea-9b67-052fca10769b,d343957b-4fb1-4437-8267-8f99612b1bc3,Pre-built aggregates,Pre-compute complex aggregates at pipeline run time,in_development,
bebd98c4-e934-4dbe-aea2-896c5e602f39,1cdc9d99-9428-4890-817a-b9e21838a502,BigQuery connector,Native connection to Google BigQuery,shipped,2025-01-03
cdf52cc0-c8bb-4f47-a91c-648a1b2ec0db,1cdc9d99-9428-4890-817a-b9e21838a502,Snowflake connector,Native connection to Snowflake,shipped,2025-01-03
55bbcd06-94aa-4487-ba38-13edb5695743,1cdc9d99-9428-4890-817a-b9e21838a502,Redshift connector,Native connection to Amazon Redshift,shipped,2025-03-04
3cf8f039-70ec-4ab8-b31f-cebba972a9aa,f5c8e6a4-2719-4231-832c-eac0b23aec06,Embedding SDK,Embed Holistics dashboards in external products,shipped,2025-07-04
79a9ab59-a649-40c0-a65d-c1c5689e73e8,f5c8e6a4-2719-4231-832c-eac0b23aec06,REST API,Programmatic access to reports and data,planned,
64d35c8d-c5a6-440a-99fb-f19f307ff324,3ec89fbd-704d-4ad1-8d6b-e1e7c238db68,SAML 2.0 integration,Enterprise SSO via SAML for IT-gated accounts,in_development,
d6b97565-786a-4361-bb24-eb0bb637f088,caafc018-1022-4452-8d83-a817918f75ae,User activity log,Audit trail of user actions for compliance,shipped,2025-09-04